Gene Omega Class
FBgn0028744 0.03853 plei
FBgn0028984 0.10134 plei
FBgn0028990 0.06387 plei
FBgn0029114 0.02679 plei
FBgn0030309 0.09169 plei
FBgn0030593 0.04585 plei
FBgn0030695 0.07233 plei
FBgn0030904 0.1094 plei
FBgn0030941 0.1105 plei
FBgn0030964 0.11726 plei
FBgn0031187 0.03163 plei
FBgn0031450 0.04134 plei
FBgn0031461 0.07832 plei
FBgn0031888 0.22586 plei
FBgn0031951 0.14869 plei
FBgn0031959 0.06287 plei
FBgn0032006 0.12921 plei
FBgn0032210 0.0651 plei
FBgn0032362 0.12293 plei
FBgn0032492 0.11546 plei
FBgn0032773 0.1203 plei
FBgn0033402 0.06747 plei
FBgn0033438 0.15719 plei
FBgn0034070 0.07893 plei
FBgn0034199 0.34967 plei
FBgn0034221 0.6076 plei
FBgn0034366 0.09217 plei
FBgn0034476 0.02862 plei
FBgn0034521 0.06188 plei
FBgn0034763 0.00648 plei
FBgn0034870 0.24353 plei
FBgn0034975 0.08515 plei
FBgn0035049 0.04581 plei
FBgn0035056 0.04362 plei
FBgn0035623 0.1517 plei
FBgn0035850 0.03178 plei
FBgn0035977 0.1534 plei
FBgn0036448 0.06984 plei
FBgn0036666 0.05954 plei
FBgn0036752 0.08647 plei
FBgn0036919 0.09384 plei
FBgn0037384 0.27006 plei
FBgn0038134 0.07962 plei
FBgn0038197 0.07802 plei
FBgn0038299 0.26584 plei
FBgn0038391 0.12739 plei
FBgn0038570 0.06341 plei
FBgn0038760 0.02862 plei
FBgn0038928 0.16822 plei
FBgn0039044 0.10557 plei
FBgn0039120 0.09543 plei
FBgn0039562 0.03818 plei
FBgn0039709 0.04624 plei
FBgn0039800 0.12177 plei
FBgn0040068 0.03017 plei
FBgn0040070 0.12271 plei
FBgn0040294 0.08479 plei
FBgn0040309 0.02266 plei
FBgn0040465 0.0792 plei
FBgn0040505 0.03842 plei
FBgn0041164 0.14395 plei
FBgn0041582 0.08095 plei
FBgn0043550 0.07644 plei
FBgn0051216 0.02728 plei
FBgn0051660 0.08412 plei
FBgn0053207 0.06841 plei
FBgn0053542 0.14619 plei
FBgn0082598 0.06345 plei
FBgn0085407 0.13461 plei
FBgn0085424 0.04468 plei
FBgn0086357 0.00235 plei
FBgn0086371 0.03369 plei
FBgn0086906 0.02433 plei
FBgn0087035 0.13367 plei
FBgn0243512 0.12589 plei
FBgn0250820 0.04818 plei
FBgn0259170 0.07707 plei
FBgn0260632 0.13258 plei
FBgn0260635 0.13272 plei
FBgn0260745 0.06631 plei
FBgn0260935 0.03061 plei
FBgn0260936 0.09916 plei
FBgn0261258 0.10956 plei
FBgn0261524 0.03665 plei
FBgn0261526 0.13343 plei
FBgn0261560 0.02914 plei
FBgn0261574 0.05782 plei
FBgn0261797 0.00921 plei
FBgn0261800 0.05833 plei
FBgn0261988 0.03631 plei
FBgn0262516 0.04308 plei
FBgn0262738 0.01251 plei
FBgn0263120 0.03652 plei
FBgn0263864 0.13586 plei
FBgn0263873 0.04447 plei
FBgn0264294 0.06458 plei
FBgn0264325 0.02092 plei
FBgn0264975 0.05868 plei
FBgn0265048 0.04318 plei
FBgn0265464 0.05148 plei
FBgn0266670 0.02207 plei
FBgn0278608 0.01271 plei
FBgn0000094 0.84817 nonplei
FBgn0000276 0.06011 nonplei
FBgn0000277 0.05937 nonplei
FBgn0000279 0.0752 nonplei
FBgn0001967 0.0575 nonplei
FBgn0001986 0.0481 nonplei
FBgn0002563 0.04801 nonplei
FBgn0002930 0.14343 nonplei
FBgn0002939 0.07459 nonplei
FBgn0003134 0.00176 nonplei
FBgn0003231 0.17009 nonplei
FBgn0003261 0.05495 nonplei
FBgn0003358 0.06947 nonplei
FBgn0003961 0.0663 nonplei
FBgn0004362 0.04512 nonplei
FBgn0004429 0.03895 nonplei
FBgn0004430 0.05298 nonplei
FBgn0004431 0.12078 nonplei
FBgn0004587 0.00898 nonplei
FBgn0004592 0.62143 nonplei
FBgn0010014 1e-04 nonplei
FBgn0010015 0.05016 nonplei
FBgn0010053 0.06623 nonplei
FBgn0010228 0.04557 nonplei
FBgn0010355 0.04786 nonplei
FBgn0010385 0.10153 nonplei
FBgn0010388 0.17758 nonplei
FBgn0010638 0.01002 nonplei
FBgn0010660 0.15426 nonplei
FBgn0011016 0.03488 nonplei
FBgn0011204 0.09891 nonplei
FBgn0011740 0.06033 nonplei
FBgn0012042 0.10795 nonplei
FBgn0013576 0.07568 nonplei
FBgn0013772 0.06836 nonplei
FBgn0014000 0.15996 nonplei
FBgn0014031 0.02696 nonplei
FBgn0014033 0.21541 nonplei
FBgn0014469 0.05139 nonplei
FBgn0014865 0.37082 nonplei
FBgn0015221 0.08454 nonplei
FBgn0015316 0.10593 nonplei
FBgn0015570 0.0759 nonplei
FBgn0015924 0.05946 nonplei
FBgn0016675 0.14245 nonplei
FBgn0016696 0.05446 nonplei
FBgn0019925 0.01151 nonplei
FBgn0019949 0.00992 nonplei
FBgn0020376 0.30115 nonplei
FBgn0020377 0.23606 nonplei
FBgn0022355 0.0702 nonplei
FBgn0023129 0.05464 nonplei
FBgn0024183 0.13064 nonplei
FBgn0024329 0.03887 nonplei
FBgn0024330 0.03034 nonplei
FBgn0024807 0.10245 nonplei
FBgn0025454 0.06392 nonplei
FBgn0025456 0.12592 nonplei
FBgn0025574 0.01067 nonplei
FBgn0025678 0.05022 nonplei
FBgn0025697 0.07502 nonplei
FBgn0025700 0.01601 nonplei
FBgn0025724 0.0292 nonplei
FBgn0026207 0.11023 nonplei
FBgn0026616 0.04585 nonplei
FBgn0026721 0.06653 nonplei
FBgn0026755 0.14901 nonplei
FBgn0026760 0.09519 nonplei
FBgn0027329 0.02574 nonplei
FBgn0027360 0.0191 nonplei
FBgn0027560 0.01533 nonplei
FBgn0027562 0.08752 nonplei
FBgn0027584 0.09377 nonplei
FBgn0027657 0.11185 nonplei
FBgn0027930 0.10327 nonplei
FBgn0028327 0.027 nonplei
FBgn0028396 0.11629 nonplei
FBgn0028436 0.05404 nonplei
FBgn0028473 0.02606 nonplei
FBgn0028540 0.00882 nonplei
FBgn0028541 0.01946 nonplei
FBgn0028542 0.06314 nonplei
FBgn0028853 0.10543 nonplei
FBgn0028936 0.07172 nonplei
FBgn0028939 0.11852 nonplei
FBgn0028988 0.11428 nonplei
FBgn0029113 0.05221 nonplei
FBgn0029167 0.05794 nonplei
FBgn0029512 0.07942 nonplei
FBgn0029529 0.06458 nonplei
FBgn0029765 0.08113 nonplei
FBgn0029990 0.29049 nonplei
FBgn0030041 0.15415 nonplei
FBgn0030105 0.20341 nonplei
FBgn0030262 0.17595 nonplei
FBgn0030305 0.06185 nonplei
FBgn0030306 0.03673 nonplei
FBgn0030310 0.10324 nonplei
FBgn0030362 0.07455 nonplei
FBgn0030774 0.13585 nonplei
FBgn0030925 0.1968 nonplei
FBgn0030926 0.18785 nonplei
FBgn0030999 0.1796 nonplei
FBgn0031055 0.29142 nonplei
FBgn0031145 0.03377 nonplei
FBgn0031182 0.07774 nonplei
FBgn0031216 0.03811 nonplei
FBgn0031317 0.14556 nonplei
FBgn0031397 0.05863 nonplei
FBgn0031418 0.05775 nonplei
FBgn0031515 0.0891 nonplei
FBgn0031547 0.45386 nonplei
FBgn0031560 0.15834 nonplei
FBgn0031561 0.16788 nonplei
FBgn0031676 0.04546 nonplei
FBgn0031694 0.05449 nonplei
FBgn0031701 0.23764 nonplei
FBgn0031937 0.0988 nonplei
FBgn0031969 0.1225 nonplei
FBgn0031973 0.12812 nonplei
FBgn0031975 0.03855 nonplei
FBgn0032015 0.03503 nonplei
FBgn0032076 0.06672 nonplei
FBgn0032147 0.07383 nonplei
FBgn0032157 0.04252 nonplei
FBgn0032228 0.06967 nonplei
FBgn0032256 0.07536 nonplei
FBgn0032297 0.00938 nonplei
FBgn0032472 0.49493 nonplei
FBgn0032487 0.02156 nonplei
FBgn0032587 0.1009 nonplei
FBgn0032638 0.15998 nonplei
FBgn0032639 0.81574 nonplei
FBgn0032690 0.03542 nonplei
FBgn0032810 0.0829 nonplei
FBgn0032836 0.21725 nonplei
FBgn0033062 0.07405 nonplei
FBgn0033129 0.13693 nonplei
FBgn0033153 0.06265 nonplei
FBgn0033192 0.05485 nonplei
FBgn0033196 0.05714 nonplei
FBgn0033203 0.09441 nonplei
FBgn0033250 0.05126 nonplei
FBgn0033301 0.18515 nonplei
FBgn0033327 0.05255 nonplei
FBgn0033339 0.06395 nonplei
FBgn0033367 0.03603 nonplei
FBgn0033388 0.12836 nonplei
FBgn0033453 0.13551 nonplei
FBgn0033543 0.03689 nonplei
FBgn0033593 0.19977 nonplei
FBgn0034068 0.08184 nonplei
FBgn0034094 0.07553 nonplei
FBgn0034117 0.0766 nonplei
FBgn0034162 0.04308 nonplei
FBgn0034246 0.13648 nonplei
FBgn0034259 0.06075 nonplei
FBgn0034277 0.07408 nonplei
FBgn0034328 0.21265 nonplei
FBgn0034329 0.05605 nonplei
FBgn0034330 0.27471 nonplei
FBgn0034407 0.13761 nonplei
FBgn0034440 0.11687 nonplei
FBgn0034480 0.12222 nonplei
FBgn0034500 0.0525 nonplei
FBgn0034511 0.14136 nonplei
FBgn0034512 0.25439 nonplei
FBgn0034537 0.02108 nonplei
FBgn0034538 0.07173 nonplei
FBgn0034647 0.11925 nonplei
FBgn0034709 0.06577 nonplei
FBgn0034741 0.11491 nonplei
FBgn0034761 0.17207 nonplei
FBgn0034879 0.02721 nonplei
FBgn0035022 0.10156 nonplei
FBgn0035090 0.13945 nonplei
FBgn0035176 0.15751 nonplei
FBgn0035207 0.06808 nonplei
FBgn0035228 0.03111 nonplei
FBgn0035343 0.10455 nonplei
FBgn0035344 0.09792 nonplei
FBgn0035355 0.05329 nonplei
FBgn0035356 0.03332 nonplei
FBgn0035601 0.02027 nonplei
FBgn0035665 0.19533 nonplei
FBgn0035806 0.15636 nonplei
FBgn0035813 0.09216 nonplei
FBgn0035906 0.09023 nonplei
FBgn0035909 0.05318 nonplei
FBgn0035975 0.13751 nonplei
FBgn0035976 0.20026 nonplei
FBgn0035983 0.06857 nonplei
FBgn0036299 0.04995 nonplei
FBgn0036490 0.08758 nonplei
FBgn0036580 0.01813 nonplei
FBgn0036837 0.05863 nonplei
FBgn0036975 0.07489 nonplei
FBgn0036978 0.10218 nonplei
FBgn0037090 0.13656 nonplei
FBgn0037108 0.06642 nonplei
FBgn0037116 0.06769 nonplei
FBgn0037203 0.04607 nonplei
FBgn0037376 0.03222 nonplei
FBgn0037396 0.28107 nonplei
FBgn0037515 0.13056 nonplei
FBgn0037556 0.0268 nonplei
FBgn0037678 0.12703 nonplei
FBgn0037724 0.1724 nonplei
FBgn0037788 0.11646 nonplei
FBgn0037819 0.03342 nonplei
FBgn0037875 0.02252 nonplei
FBgn0037906 0.07527 nonplei
FBgn0038009 0.31483 nonplei
FBgn0038191 0.24318 nonplei
FBgn0038214 0.49414 nonplei
FBgn0038250 0.13409 nonplei
FBgn0038269 0.09734 nonplei
FBgn0038530 0.14294 nonplei
FBgn0038738 0.05915 nonplei
FBgn0038829 0.09934 nonplei
FBgn0038838 0.29078 nonplei
FBgn0038865 0.11861 nonplei
FBgn0038914 0.13212 nonplei
FBgn0038973 0.04978 nonplei
FBgn0038978 0.0047 nonplei
FBgn0038979 0.4422 nonplei
FBgn0039015 0.21869 nonplei
FBgn0039022 0.07928 nonplei
FBgn0039023 0.1093 nonplei
FBgn0039118 0.05231 nonplei
FBgn0039183 0.03834 nonplei
FBgn0039298 0.07913 nonplei
FBgn0039328 0.07742 nonplei
FBgn0039335 0.06068 nonplei
FBgn0039494 0.07387 nonplei
FBgn0039519 0.08035 nonplei
FBgn0039564 0.12318 nonplei
FBgn0039593 0.42984 nonplei
FBgn0039609 0.13614 nonplei
FBgn0039629 0.02509 nonplei
FBgn0039634 0.06579 nonplei
FBgn0039685 0.09553 nonplei
FBgn0039702 0.05451 nonplei
FBgn0039798 0.77139 nonplei
FBgn0039801 0.13141 nonplei
FBgn0040096 0.42628 nonplei
FBgn0040104 0.92728 nonplei
FBgn0040260 0.10838 nonplei
FBgn0040285 0.06645 nonplei
FBgn0040308 0.04494 nonplei
FBgn0040321 0.11095 nonplei
FBgn0040322 0.0802 nonplei
FBgn0040323 0.09504 nonplei
FBgn0040340 0.03096 nonplei
FBgn0040349 0.06022 nonplei
FBgn0040384 0.07121 nonplei
FBgn0040398 0.0925 nonplei
FBgn0040503 0.27272 nonplei
FBgn0040582 0.11274 nonplei
FBgn0040660 0.04925 nonplei
FBgn0040732 0.11689 nonplei
FBgn0040734 0.04743 nonplei
FBgn0040931 0.07187 nonplei
FBgn0041180 0.08329 nonplei
FBgn0041181 0.04783 nonplei
FBgn0041182 0.09835 nonplei
FBgn0041183 0.49254 nonplei
FBgn0041205 0.12309 nonplei
FBgn0041581 0.10825 nonplei
FBgn0041710 0.10008 nonplei
FBgn0042712 0.0315 nonplei
FBgn0043576 0.0526 nonplei
FBgn0043577 0.07846 nonplei
FBgn0043578 0.08299 nonplei
FBgn0044810 0.30507 nonplei
FBgn0044811 0.27253 nonplei
FBgn0044812 0.22398 nonplei
FBgn0045495 0.17119 nonplei
FBgn0045761 0.05975 nonplei
FBgn0046763 0.10388 nonplei
FBgn0046999 0.08104 nonplei
FBgn0047135 0.01418 nonplei
FBgn0050026 0.44912 nonplei
FBgn0051075 0.03095 nonplei
FBgn0051104 0.08506 nonplei
FBgn0051217 0.12116 nonplei
FBgn0051548 0.05273 nonplei
FBgn0052023 0.09556 nonplei
FBgn0052103 0.06454 nonplei
FBgn0052190 0.04871 nonplei
FBgn0052268 0.05735 nonplei
FBgn0052274 0.45578 nonplei
FBgn0052282 0.37391 nonplei
FBgn0052283 0.40167 nonplei
FBgn0052284 0.3276 nonplei
FBgn0052382 0.37397 nonplei
FBgn0052383 0.32209 nonplei
FBgn0053117 0.29689 nonplei
FBgn0053303 0.09249 nonplei
FBgn0053493 0.13815 nonplei
FBgn0053532 0.27013 nonplei
FBgn0053533 0.17235 nonplei
FBgn0054003 0.19949 nonplei
FBgn0054054 0.64471 nonplei
FBgn0062440 0.06945 nonplei
FBgn0063492 0.10018 nonplei
FBgn0067783 0.07267 nonplei
FBgn0082831 0.1306 nonplei
FBgn0085244 0.21952 nonplei
FBgn0085455 0.25225 nonplei
FBgn0086358 0.13529 nonplei
FBgn0243514 0.19057 nonplei
FBgn0250848 0.03919 nonplei
FBgn0259175 0.07241 nonplei
FBgn0259704 0.10104 nonplei
FBgn0259705 0.13254 nonplei
FBgn0259715 0.08716 nonplei
FBgn0259785 0.06464 nonplei
FBgn0259896 0.2283 nonplei
FBgn0260458 0.23181 nonplei
FBgn0260474 0.2864 nonplei
FBgn0260746 0.06786 nonplei
FBgn0261363 0.11785 nonplei
FBgn0261514 0.07875 nonplei
FBgn0261534 0.08942 nonplei
FBgn0261575 0.06654 nonplei
FBgn0261592 0.03587 nonplei
FBgn0261859 0.05119 nonplei
FBgn0261989 0.14301 nonplei
FBgn0262035 0.50929 nonplei
FBgn0262057 0.10775 nonplei
FBgn0262357 0.32176 nonplei
FBgn0262481 0.31842 nonplei
FBgn0262569 0.59804 nonplei
FBgn0262579 0.03967 nonplei
FBgn0262794 0.43136 nonplei
FBgn0262838 0.20813 nonplei
FBgn0263402 0.54444 nonplei
FBgn0264078 0.02439 nonplei
FBgn0264541 0.06843 nonplei
FBgn0264707 0.08323 nonplei
FBgn0264979 0.09318 nonplei
FBgn0265193 0.13018 nonplei
FBgn0265575 0.10343 nonplei
FBgn0266569 0.118 nonplei
FBgn0267384 0.01648 nonplei
FBgn0283461 0.05245 nonplei
FBgn0283462 0.09325 nonplei
FBgn0000008 0.0992 devo
FBgn0000014 0.0258 devo
FBgn0000028 0.01178 devo
FBgn0000044 1e-04 devo
FBgn0000047 0.01337 devo
FBgn0000061 0.04973 devo
FBgn0000063 0.11587 devo
FBgn0000075 0.06259 devo
FBgn0000077 0.0522 devo
FBgn0000114 0.06938 devo
FBgn0000115 0.00261 devo
FBgn0000139 0.03316 devo
FBgn0000140 0.10044 devo
FBgn0000147 0.06239 devo
FBgn0000150 0.02381 devo
FBgn0000166 0.10424 devo
FBgn0000181 0.02345 devo
FBgn0000182 0.04647 devo
FBgn0000206 0.06052 devo
FBgn0000216 0.17677 devo
FBgn0000221 0.07372 devo
FBgn0000227 0.08697 devo
FBgn0000233 0.09035 devo
FBgn0000239 0.02656 devo
FBgn0000244 0.10369 devo
FBgn0000256 0.10009 devo
FBgn0000259 0.06448 devo
FBgn0000273 1e-04 devo
FBgn0000283 0.07967 devo
FBgn0000286 0.08011 devo
FBgn0000287 0.08119 devo
FBgn0000289 0.03839 devo
FBgn0000308 0.05898 devo
FBgn0000317 0.00685 devo
FBgn0000319 0.00757 devo
FBgn0000330 0.01913 devo
FBgn0000351 0.14103 devo
FBgn0000352 0.05386 devo
FBgn0000355 0.40052 devo
FBgn0000356 0.22121 devo
FBgn0000358 0.14472 devo
FBgn0000359 0.09285 devo
FBgn0000370 0.16471 devo
FBgn0000376 0.10288 devo
FBgn0000384 0.06629 devo
FBgn0000392 0.11056 devo
FBgn0000394 0.05563 devo
FBgn0000395 0.08641 devo
FBgn0000405 0.09287 devo
FBgn0000411 0.04673 devo
FBgn0000427 0.16338 devo
FBgn0000439 0.05676 devo
FBgn0000448 0.07845 devo
FBgn0000449 0.07866 devo
FBgn0000451 0.07805 devo
FBgn0000459 0.114 devo
FBgn0000463 0.05253 devo
FBgn0000464 0.01366 devo
FBgn0000477 0.06889 devo
FBgn0000479 0.09254 devo
FBgn0000482 0.0701 devo
FBgn0000492 0.0769 devo
FBgn0000524 0.04081 devo
FBgn0000527 0.02333 devo
FBgn0000529 0.14402 devo
FBgn0000536 0.13041 devo
FBgn0000542 0.06297 devo
FBgn0000547 0.03209 devo
FBgn0000552 0.16243 devo
FBgn0000560 0.08 devo
FBgn0000562 0.03489 devo
FBgn0000567 0.1885 devo
FBgn0000568 0.04323 devo
FBgn0000576 0.0591 devo
FBgn0000577 0.04555 devo
FBgn0000591 0.09761 devo
FBgn0000611 0.00261 devo
FBgn0000615 0.12248 devo
FBgn0000617 0.05525 devo
FBgn0000625 0.06068 devo
FBgn0000629 0.03032 devo
FBgn0000635 0.05445 devo
FBgn0000662 0.08155 devo
FBgn0000667 0.01037 devo
FBgn0000719 0.25526 devo
FBgn0000723 0.04197 devo
FBgn0000808 0.0774 devo
FBgn0000826 0.07048 devo
FBgn0000928 0.31157 devo
FBgn0000996 0.08067 devo
FBgn0001075 0.04834 devo
FBgn0001077 0.11057 devo
FBgn0001078 0.11539 devo
FBgn0001083 0.0383 devo
FBgn0001084 0.04493 devo
FBgn0001086 0.03053 devo
FBgn0001087 0.06142 devo
FBgn0001090 0.14904 devo
FBgn0001104 0.00995 devo
FBgn0001105 0.00245 devo
FBgn0001114 0.13043 devo
FBgn0001122 0.03025 devo
FBgn0001123 0.01064 devo
FBgn0001125 0.07244 devo
FBgn0001133 0.02959 devo
FBgn0001137 0.25008 devo
FBgn0001142 0.02654 devo
FBgn0001145 0.02149 devo
FBgn0001147 0.02032 devo
FBgn0001148 0.04198 devo
FBgn0001150 0.06212 devo
FBgn0001168 0.03364 devo
FBgn0001169 0.16756 devo
FBgn0001180 0.05075 devo
FBgn0001189 0.08933 devo
FBgn0001197 0.00628 devo
FBgn0001202 0.03379 devo
FBgn0001215 0.04321 devo
FBgn0001220 0.02769 devo
FBgn0001223 0.06117 devo
FBgn0001225 0.09367 devo
FBgn0001226 0.0636 devo
FBgn0001230 0.03058 devo
FBgn0001233 0.01155 devo
FBgn0001235 0.07842 devo
FBgn0001250 0.09175 devo
FBgn0001253 0.16441 devo
FBgn0001255 0.07979 devo
FBgn0001257 0.09205 devo
FBgn0001269 0.07866 devo
FBgn0001276 0.01176 devo
FBgn0001280 0.09858 devo
FBgn0001281 0.146 devo
FBgn0001308 0.0168 devo
FBgn0001321 0.03931 devo
FBgn0001323 0.08781 devo
FBgn0001324 0.02317 devo
FBgn0001624 0.05242 devo
FBgn0001941 0.01891 devo
FBgn0001942 0.02067 devo
FBgn0001970 0.04776 devo
FBgn0001977 0.04112 devo
FBgn0001981 0.03593 devo
FBgn0001983 0.04194 devo
FBgn0001987 0.02278 devo
FBgn0001992 0.04408 devo
FBgn0001994 0.05865 devo
FBgn0002121 0.0596 devo
FBgn0002306 0.10941 devo
FBgn0002413 0.02851 devo
FBgn0002431 0.04946 devo
FBgn0002441 0.17194 devo
FBgn0002466 0.05891 devo
FBgn0002521 0.12152 devo
FBgn0002522 0.11863 devo
FBgn0002524 0.04734 devo
FBgn0002531 0.13339 devo
FBgn0002533 0.1117 devo
FBgn0002534 0.14635 devo
FBgn0002535 0.16532 devo
FBgn0002542 0.09221 devo
FBgn0002552 0.05639 devo
FBgn0002561 0.07752 devo
FBgn0002566 0.07103 devo
FBgn0002573 0.06623 devo
FBgn0002577 0.04017 devo
FBgn0002592 0.12404 devo
FBgn0002609 0.0517 devo
FBgn0002629 0.06654 devo
FBgn0002631 0.06659 devo
FBgn0002632 0.04775 devo
FBgn0002633 0.09306 devo
FBgn0002638 0.09248 devo
FBgn0002673 0.10442 devo
FBgn0002707 0.05063 devo
FBgn0002716 0.12652 devo
FBgn0002719 0.08676 devo
FBgn0002723 0.07065 devo
FBgn0002732 0.07682 devo
FBgn0002733 0.01992 devo
FBgn0002734 0.05008 devo
FBgn0002735 0.0272 devo
FBgn0002736 0.00119 devo
FBgn0002773 0.0588 devo
FBgn0002781 0.16824 devo
FBgn0002789 0.0681 devo
FBgn0002791 0.05772 devo
FBgn0002842 0.30039 devo
FBgn0002865 0.00275 devo
FBgn0002899 0.06129 devo
FBgn0002901 0.13024 devo
FBgn0002909 0.13527 devo
FBgn0002921 0.03746 devo
FBgn0002922 0.10466 devo
FBgn0002926 0.12665 devo
FBgn0002931 0.13315 devo
FBgn0002940 0.01306 devo
FBgn0002945 0.10496 devo
FBgn0002962 0.15155 devo
FBgn0002973 0.04187 devo
FBgn0002985 0.07161 devo
FBgn0002989 0.04425 devo
FBgn0003002 0.03822 devo
FBgn0003015 0.14598 devo
FBgn0003023 0.14497 devo
FBgn0003034 0.3378 devo
FBgn0003041 0.02718 devo
FBgn0003042 0.0777 devo
FBgn0003053 0.07272 devo
FBgn0003087 0.18704 devo
FBgn0003089 0.03553 devo
FBgn0003116 0.09227 devo
FBgn0003129 0.06764 devo
FBgn0003130 0.05955 devo
FBgn0003145 0.0795 devo
FBgn0003149 0.06312 devo
FBgn0003165 0.05554 devo
FBgn0003174 0.07384 devo
FBgn0003175 0.06907 devo
FBgn0003187 0.06359 devo
FBgn0003210 0.07168 devo
FBgn0003255 0.03951 devo
FBgn0003270 0.08408 devo
FBgn0003285 0.05272 devo
FBgn0003292 0.08794 devo
FBgn0003295 0.10329 devo
FBgn0003300 0.05533 devo
FBgn0003302 0.23108 devo
FBgn0003308 0.05112 devo
FBgn0003310 0.11693 devo
FBgn0003312 0.09132 devo
FBgn0003313 0.22063 devo
FBgn0003326 0.07435 devo
FBgn0003330 0.03912 devo
FBgn0003334 0.05585 devo
FBgn0003345 0.0863 devo
FBgn0003380 0.28145 devo
FBgn0003388 0.03268 devo
FBgn0003390 0.05762 devo
FBgn0003391 0.03669 devo
FBgn0003392 0.01227 devo
FBgn0003401 0.11197 devo
FBgn0003410 0.0139 devo
FBgn0003411 0.09525 devo
FBgn0003415 0.06361 devo
FBgn0003416 0.04538 devo
FBgn0003429 0.04731 devo
FBgn0003430 0.04031 devo
FBgn0003435 0.13951 devo
FBgn0003447 0.01325 devo
FBgn0003448 0.05166 devo
FBgn0003449 0.01867 devo
FBgn0003459 0.24798 devo
FBgn0003460 0.06418 devo
FBgn0003462 0.052 devo
